Feats_subset,Model_name,n_est;max_dep;LR;n_neig,train_score,train_std,subm_score,subm_std
High Corr.,S_SVC,"(200, 3, 0.05, 3)",0.8283,0.0179,0.799,0.0
High Corr.,S_SVC,"(100, 3, 0.2, 5)",0.8238,0.0201,0.799,0.0
High Corr.,S_SVC,"(200, 3, 0.05, 5)",0.8204,0.0106,0.799,0.0
High Corr.,S_SVC,"(100, 3, 0.1, 5)",0.8204,0.014,0.799,0.0
High Corr.,B_GB,"(100, 3, 0.05, 3)",0.8137,0.0185,0.7986,0.001
High Corr.,B_GB,"(100, 3, 0.05, 5)",0.8137,0.0185,0.7986,0.001
High Corr.,B_GB,"(100, 3, 0.05, 7)",0.8137,0.0185,0.7986,0.001
High Corr.,S_SVC,"(100, 3, 0.1, 3)",0.826,0.0141,0.7967,0.0
High Corr.,S_HGB,"(200, 3, 0.1, 7)",0.8081,0.0137,0.7967,0.0
High Corr.,S_SVC,"(200, 3, 0.1, 5)",0.8204,0.0183,0.7967,0.0
High Corr.,S_HGB,"(200, 3, 0.05, 3)",0.7969,0.0189,0.7967,0.0
High Corr.,S_SVC,"(100, 3, 0.2, 3)",0.826,0.0183,0.7967,0.0
High Corr.,B_GB,"(50, 3, 0.2, 5)",0.8193,0.0121,0.7957,0.0012
High Corr.,B_GB,"(50, 3, 0.2, 7)",0.8193,0.0121,0.7957,0.0012
High Corr.,B_GB,"(50, 3, 0.2, 3)",0.8193,0.0121,0.7957,0.0012
New,S_HGB,"(100, 3, 0.1, 5)",0.8149,0.0331,0.7943,0.0
High Corr.,S_SVC,"(200, 3, 0.1, 3)",0.8238,0.0165,0.7943,0.0
New,S_KN,"(200, 3, 0.1, 5)",0.8137,0.0264,0.7943,0.0
High Corr.,S_HGB,"(200, 3, 0.1, 5)",0.8047,0.0144,0.7943,0.0
High Corr.,B_GB,"(50, 3, 0.1, 5)",0.8171,0.0168,0.7928,0.0019
High Corr.,B_GB,"(50, 3, 0.1, 7)",0.8171,0.0168,0.7928,0.0019
High Corr.,B_GB,"(50, 3, 0.1, 3)",0.8171,0.0168,0.7928,0.0019
High Corr.,S_SVC,"(50, 3, 0.2, 5)",0.8193,0.0112,0.7919,0.0
New,S_KN,"(50, 5, 0.05, 5)",0.798,0.0188,0.7919,0.0
New,S_KN,"(100, 3, 0.05, 5)",0.8104,0.0209,0.7919,0.0
New,S_KN,"(200, 7, 0.1, 5)",0.8069,0.0224,0.7919,0.0
High Corr.,S_SVC,"(100, 3, 0.05, 3)",0.8283,0.0225,0.7919,0.0
